206
1.24E-10	1.00E+00	8.24E-08
1.31E-10	1.00E+00	1.27E-07
1.38E-10	1.00E+00	1.25E-07
1.55E-10	1.00E+00	1.92E-07
1.77E-10	1.00E+00	3.15E-07
2.07E-10	1.00E+00	5.51E-07
2.48E-10	1.00E+00	1.07E-06
3.10E-10	1.00E+00	2.48E-06
3.54E-10	1.00E+00	4.05E-06
4.13E-10	1.00E+00	7.14E-06
4.96E-10	1.00E+00	1.36E-05
6.20E-10	1.00E+00	3.21E-05
6.53E-10	1.00E+00	3.85E-05
6.89E-10	1.00E+00	4.71E-05
7.29E-10	1.00E+00	5.80E-05
7.40E-10	1.00E+00	6.16E-05
7.77E-10	1.00E+00	7.49E-05
7.85E-10	1.00E+00	7.85E-05
7.93E-10	1.00E+00	8.54E-05
7.94E-10	1.00E+00	7.18E-05
7.95E-10	1.00E+00	5.00E-05
7.95E-10	1.00E+00	4.11E-05
7.96E-10	1.00E+00	3.29E-05
7.98E-10	1.00E+00	2.37E-05
7.99E-10	1.00E+00	1.10E-05
8.00E-10	1.00E+00	6.05E-06
8.05E-10	1.00E+00	6.19E-06
8.16E-10	1.00E+00	6.48E-06
8.27E-10	1.00E+00	6.80E-06
8.55E-10	1.00E+00	7.84E-06
8.86E-10	1.00E+00	8.94E-06
9.54E-10	1.00E+00	1.16E-05
1.03E-09	1.00E+00	1.56E-05
1.13E-09	1.00E+00	2.16E-05
1.24E-09	1.00E+00	3.11E-05
1.38E-09	9.99E-01	4.68E-05
1.55E-09	9.99E-01	7.30E-05
1.77E-09	9.99E-01	1.18E-04
2.07E-09	9.99E-01	2.20E-04
2.48E-09	9.98E-01	4.35E-04
3.10E-09	9.97E-01	9.69E-04
4.13E-09	9.95E-01	2.35E-03
4.96E-09	9.93E-01	4.19E-03
6.20E-09	9.91E-01	7.51E-03
6.53E-09	9.91E-01	8.47E-03
6.89E-09	9.90E-01	9.65E-03
7.29E-09	9.89E-01	1.10E-02
7.75E-09	9.89E-01	1.37E-02
