3901
5.00E-08	-4.26E-01	1.0967
5.05E-08	-4.41E-01	1.14392
5.10E-08	-4.48E-01	1.19486
5.15E-08	-4.55E-01	1.23819
5.20E-08	-4.63E-01	1.28939
5.25E-08	-4.64E-01	1.34802
5.30E-08	-4.51E-01	1.41364
5.35E-08	-4.25E-01	1.46285
5.40E-08	-4.00E-01	1.50927
5.45E-08	-3.73E-01	1.55328
5.50E-08	-3.42E-01	1.59499
5.55E-08	-3.09E-01	1.63362
5.60E-08	-2.74E-01	1.67002
5.65E-08	-2.35E-01	1.70431
5.70E-08	-1.91E-01	1.73658
5.75E-08	-1.44E-01	1.75855
5.80E-08	-9.86E-02	1.77632
5.85E-08	-5.31E-02	1.79017
5.90E-08	-7.88E-03	1.80028
5.95E-08	3.75E-02	1.80674
6.00E-08	8.26E-02	1.80908
6.05E-08	1.27E-01	1.80749
6.10E-08	1.75E-01	1.80181
6.15E-08	2.15E-01	1.78245
6.20E-08	2.48E-01	1.76383
6.25E-08	2.76E-01	1.74594
6.30E-08	3.02E-01	1.72875
6.35E-08	3.27E-01	1.70993
6.40E-08	3.50E-01	1.6888
6.45E-08	3.69E-01	1.66548
6.50E-08	3.84E-01	1.64008
6.55E-08	3.93E-01	1.61582
6.60E-08	3.98E-01	1.5945
6.65E-08	4.01E-01	1.57595
6.70E-08	4.06E-01	1.55992
6.75E-08	4.10E-01	1.54057
6.80E-08	4.11E-01	1.52052
6.85E-08	4.08E-01	1.49981
6.90E-08	3.99E-01	1.47856
6.95E-08	3.87E-01	1.46696
7.00E-08	3.76E-01	1.45681
7.05E-08	3.65E-01	1.44806
7.10E-08	3.52E-01	1.44066
7.15E-08	3.39E-01	1.43863
7.20E-08	3.27E-01	1.43737
7.25E-08	3.16E-01	1.43676
7.30E-08	3.05E-01	1.43677
7.35E-08	2.93E-01	1.44127
7.40E-08	2.84E-01	1.44558
7.45E-08	2.76E-01	1.44953
7.50E-08	2.67E-01	1.45315
7.55E-08	0.25786	1.4603
7.60E-08	0.250674	1.46722
7.65E-08	0.243898	1.47387
7.70E-08	0.236243	1.48027
7.75E-08	0.229103	1.49029
7.80E-08	0.224329	1.49987
7.85E-08	0.220537	1.50894
7.90E-08	0.217577	1.51754
7.95E-08	0.214386	1.52448
8.00E-08	0.210246	1.53182
8.05E-08	0.205854	1.5396
8.10E-08	0.201213	1.54784
8.15E-08	0.197037	1.55712
8.20E-08	0.193481	1.56642
8.25E-08	0.190315	1.57575
8.30E-08	0.188022	1.58504
8.35E-08	0.184655	1.59249
8.40E-08	0.180134	1.60134
8.45E-08	0.175777	1.61155
8.50E-08	0.17322	1.6229
8.55E-08	0.17079	1.63174
8.60E-08	0.167277	1.64113
8.65E-08	0.163387	1.65106
8.70E-08	0.158928	1.66152
8.75E-08	0.155038	1.67413
8.80E-08	0.152404	1.68653
8.85E-08	0.150128	1.6987
8.90E-08	0.147313	1.71062
8.95E-08	0.145632	1.72513
9.00E-08	0.145866	1.73807
